127.0.0.1 - - [06/Aug/2022:13:14:50 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [06/Aug/2022:13:15:12 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 3924
127.0.0.1 - - [06/Aug/2022:13:15:12 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 200 10609
127.0.0.1 - - [06/Aug/2022:13:15:12 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 200 7630
127.0.0.1 - - [06/Aug/2022:13:15:12 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
127.0.0.1 - - [06/Aug/2022:13:15:15 +0530] "GET /ServletBankingApp/images/bg.jpg HTTP/1.1" 200 229202
127.0.0.1 - - [06/Aug/2022:13:15:15 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 200 27186
127.0.0.1 - - [06/Aug/2022:13:15:15 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [06/Aug/2022:13:22:03 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2993
127.0.0.1 - - [06/Aug/2022:13:22:03 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:22:03 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:22:03 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:22:03 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:22:22 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 3425
127.0.0.1 - - [06/Aug/2022:13:22:22 +0530] "GET /ServletBankingApp/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:23:19 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 3300
127.0.0.1 - - [06/Aug/2022:13:23:19 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:23:19 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:23:19 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:23:19 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:32:48 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 3634
127.0.0.1 - - [06/Aug/2022:13:32:48 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:32:48 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
